"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_Quant_mean", "posterior_Quant_variance", "Posterior_Quant", "Posterior_Quant_cumsum", "Posterior_Quant_CI", "p_Posterior_Quant", "Posterior_Quant_quantile_0.05", "Posterior_Quant_quantile_0.95"
"Age", 0, -1, 5.99255167702408e-116, 0.433382295, 0.0189523150981809, 5.99255167702408e-116, "outside CI", -0.268064597507936, 0, 0, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 4.58453690854223e-11, 4.58453690854223e-11, "outside CI", 2.26045681206207e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.001001001001001, -0.996996996996997, 2.00230455622799e-115, 0.433382295, 0.0189523150981809, 2.6015597239304e-115, "outside CI", -0.268064597507936, 3.95252516672997e-323, 3.95252516672997e-323, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 5.58531549916942e-11, 1.01698524077117e-10, "outside CI", 2.76734633984141e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.002002002002002, -0.993993993993994, 6.67170704730222e-115, 0.433382295, 0.0189523150981809, 9.27326677123262e-115, "outside CI", -0.268064597507936, 1.66253089825579e-320, 1.66648342342252e-320, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 6.79770259234294e-11, 1.69675550000546e-10, "outside CI", 3.38456561732034e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.003003003003003, -0.990990990990991, 2.21682946891642e-114, 0.433382295, 0.0189523150981809, 3.14415614603969e-114, "outside CI", -0.268064597507936, 7.09754944189701e-318, 7.11421427613124e-318, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 8.26492319275072e-11, 2.52324781928053e-10, "outside CI", 4.13537189319599e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.004004004004004, -0.987987987987988, 7.34541079171277e-114, 0.433382295, 0.0189523150981809, 1.04895669377525e-113, "outside CI", -0.268064597507936, 2.95486486058008e-315, 2.96197907485621e-315, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.00387051092034e-10, 3.52711833020087e-10, "outside CI", 5.04775777392016e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.005005005005005, -0.984984984984985, 2.4271039462988e-113, 0.433382295, 0.0189523150981809, 3.47606064007404e-113, "outside CI", -0.268064597507936, 1.19967383655224e-312, 1.2026358156271e-312, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.21808833567414e-10, 4.74520666587501e-10, "outside CI", 6.15537950295289e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.00600600600600601, -0.981981981981982, 7.99740609017966e-113, 0.433382295, 0.0189523150981809, 1.14734667302537e-112, "outside CI", -0.268064597507936, 4.74990710788725e-310, 4.76193346604352e-310, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.47652935191861e-10, 6.22173601779361e-10, "outside CI", 7.49865974713478e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.00700700700700701, -0.978978978978979, 2.6278369002942e-112, 0.433382295, 0.0189523150981809, 3.77518357331957e-112, "outside CI", -0.268064597507936, 1.83401722477558e-307, 1.83877915824162e-307, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.78800034270437e-10, 8.00973636049799e-10, "outside CI", 9.12609619246278e-10, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.00800800800800801, -0.975975975975976, 8.61065421772987e-112, 0.433382295, 0.0189523150981809, 1.23858377910494e-111, "outside CI", -0.268064597507936, 6.90586475597309e-305, 6.9242525475555e-305, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 2.1629940430002e-10, 1.01727304034982e-09, "outside CI", 1.10958125740418e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.00900900900900901, -0.972972972972973, 2.81360014092495e-111, 0.433382295, 0.0189523150981809, 4.05218392002989e-111, "outside CI", -0.268064597507936, 2.53588230088843e-302, 2.54280655343598e-302, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 2.61399806484659e-10, 1.27867284683448e-09, "outside CI", 1.34773949376863e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
